Instance,BKS,Cut_best,Acc_best,Cut_avg,Acc_avg,Std,t_avg,# Opt,# run
G1,11624,11551.0,99.37,11551.00,99.37,0.00,1.037,0,1
G10,2000,1922.0,96.10,1922.00,96.10,0.00,1.014,0,1
G11,564,552.0,97.87,552.00,97.87,0.00,0.998,0,1
G12,556,548.0,98.56,548.00,98.56,0.00,1.000,0,1
G13,582,572.0,98.28,572.00,98.28,0.00,0.995,0,1
G14,3064,3028.0,98.83,3028.00,98.83,0.00,1.049,0,1
G15,3050,3007.0,98.59,3007.00,98.59,0.00,1.027,0,1
G16,3052,3015.0,98.79,3015.00,98.79,0.00,1.047,0,1
G17,3047,3018.0,99.05,3018.00,99.05,0.00,1.051,0,1
G18,992,956.0,96.37,956.00,96.37,0.00,1.035,0,1
G19,906,863.0,95.25,863.00,95.25,0.00,1.053,0,1
G2,11620,11536.0,99.28,11536.00,99.28,0.00,1.022,0,1
G20,941,927.0,98.51,927.00,98.51,0.00,1.039,0,1
G3,11622,11563.0,99.49,11563.00,99.49,0.00,1.036,0,1
G4,11646,11606.0,99.66,11606.00,99.66,0.00,1.005,0,1
G5,11631,11608.0,99.80,11608.00,99.80,0.00,1.002,0,1
G6,2178,2099.0,96.37,2099.00,96.37,0.00,1.015,0,1
G7,2006,1934.0,96.41,1934.00,96.41,0.00,1.017,0,1
G8,2005,1971.0,98.30,1971.00,98.30,0.00,1.013,0,1
G9,2054,1992.0,96.98,1992.00,96.98,0.00,1.024,0,1
