Instance,BKS,Cut_best,Acc_best,Cut_avg,Acc_avg,Std,t_avg,# Opts/ Total runs
G1.txt,11624,11624,100.00,11621.63,99.98,0.06,0.039,408/500
G2.txt,11620,11620,100.00,11612.47,99.94,0.06,0.037,61/500
G3.txt,11622,11622,100.00,11619.44,99.98,0.03,0.039,239/500
G4.txt,11646,11646,100.00,11639.69,99.95,0.03,0.037,54/500
G5.txt,11631,11631,100.00,11628.28,99.98,0.03,0.039,189/500
G6.txt,2178,2178,100.00,2176.66,99.94,0.08,0.040,227/500
G7.txt,2006,2006,100.00,2001.05,99.75,0.31,0.039,249/500
G8.txt,2005,2005,100.00,1998.42,99.67,0.23,0.039,70/500
G9.txt,2054,2054,100.00,2049.43,99.78,0.26,0.039,95/500
G10.txt,2000,2000,100.00,1995.97,99.80,0.25,0.040,2/500
G11.txt,564,564,100.00,560.89,99.45,0.36,0.028,69/500
G12.txt,556,556,100.00,553.35,99.52,0.32,0.036,87/500
G13.txt,582,582,100.00,578.09,99.33,0.38,0.030,60/500
G14.txt,3064,3064,100.00,3055.48,99.72,0.11,0.028,1/500
G15.txt,3050,3050,100.00,3042.58,99.76,0.15,0.040,18/500
G16.txt,3052,3052,100.00,3042.56,99.69,0.13,0.033,4/500
G17.txt,3047,3047,100.00,3038.24,99.71,0.11,0.047,1/500
G18.txt,992,991,99.90,985.94,99.39,0.24,0.039,3/500
G19.txt,906,906,100.00,902.29,99.59,0.49,0.035,127/500
G20.txt,941,941,100.00,937.08,99.58,0.34,0.036,107/500
